threshold_percentile,threshold_days,churn_rate_pct,Model,ROC_AUC,PR_AUC,F1,ROC_AUC_rank
85,449.0,15.0,LogisticRegression,0.8344,0.3768,0.4581,2
85,449.0,15.0,RandomForest,0.8376,0.3742,0.4933,1
85,449.0,15.0,XGBoost,0.8278,0.3634,0.4797,3
85,449.0,15.0,GradientBoosting,0.8277,0.346,0.1364,4
85,449.0,15.0,DecisionTree,0.825,0.3534,0.4471,5
85,449.0,15.0,KNN,0.7787,0.3112,0.179,6
90,535.0,10.0,LogisticRegression,0.846,0.2799,0.3649,3
90,535.0,10.0,RandomForest,0.8491,0.2867,0.3991,1
90,535.0,10.0,XGBoost,0.8469,0.2972,0.3909,2
90,535.0,10.0,GradientBoosting,0.8445,0.2839,0.073,4
90,535.0,10.0,DecisionTree,0.828,0.2544,0.3731,5
90,535.0,10.0,KNN,0.8076,0.2487,0.1169,6
95,625.0,5.0,LogisticRegression,0.8393,0.1682,0.2287,1
95,625.0,5.0,RandomForest,0.8266,0.1441,0.2391,3
95,625.0,5.0,XGBoost,0.8318,0.1577,0.2294,2
95,625.0,5.0,GradientBoosting,0.8212,0.134,0.0282,4
95,625.0,5.0,DecisionTree,0.8133,0.1497,0.2301,5
95,625.0,5.0,KNN,0.794,0.1552,0.0769,6
